date,time_idx,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity,has_sentiment,daily_sentiment_mean_3,daily_sentiment_std_3,daily_sentiment_mean_7,daily_sentiment_std_7,daily_sentiment_mean_14,daily_sentiment_std_14,has_spike
5/7/25,65,117.0452728,206758800,2025-02-26 16:20:00-05:00,69,5,2,2,2025,0,0,0.031002263,0.027227397,NVDA,-0.193561286,2,0,0,1,-0.072348997,1.31189663,0.285100669,1.115278967,0.353025384,0.920698929,1
5/8/25,66,117.3552399,198428100,2025-02-26 16:20:00-05:00,70,5,3,2,2025,0,0,0.002648266,0.025141442,NVDA,,0,0,0,0,-0.112753093,0.930286975,0.16543518,0.941547007,0.16543518,0.941547007,0
5/9/25,67,116.6353226,132972200,2025-02-26 16:20:00-05:00,71,5,4,2,2025,0,0,-0.006134513,0.0201396,NVDA,0.614674926,1,0,0,1,-0.596780643,0.570238283,0.16543518,0.941547007,0.16543518,0.941547007,1
5/12/25,68,122.9845276,225023300,2025-02-26 16:20:00-05:00,74,5,0,2,2025,0,0,0.054436382,0.022899234,NVDA,0.892150283,1,0,0,1,0.21055682,0.571509306,0.255283129,0.839789464,0.255283129,0.839789464,1
5/13/25,69,129.9136505,330430100,2025-02-26 16:20:00-05:00,75,5,1,2,2025,0,0,0.05634142,0.024669767,NVDA,0.802687556,2,0,0,1,0.753412604,0.196204707,0.233713186,0.816954041,0.361427655,0.794856614,1
5/14/25,70,135.3229675,281180800,2025-02-26 16:20:00-05:00,76,5,2,2,2025,0,0,0.041637788,0.025030839,NVDA,0.908728302,1,0,0,1,0.769837588,0.141624446,0.328542247,0.766737523,0.424464783,0.744522188,1
5/15/25,71,134.8130341,226632600,2025-02-26 16:20:00-05:00,77,5,3,2,2025,0,0,-0.00376827,0.024491988,NVDA,1,1,0,0,1,0.86785538,0.057042455,0.33744663,0.774350881,0.484997723,0.710239094,1
5/16/25,72,135.3829651,226542500,2025-02-26 16:20:00-05:00,78,5,4,2,2025,0,0,0.004227566,0.022607503,NVDA,0.753743172,3,0,0,1,0.903805286,0.098748303,0.670779963,0.443089888,0.542220198,0.68618826,1
5/19/25,73,135.552948,193154600,2025-02-26 16:20:00-05:00,81,5,0,2,2025,0,0,0.001255571,0.022674703,NVDA,0.836252913,4,0,0,1,0.887490491,0.124494537,0.82866404,0.135555196,0.563372496,0.650393249,1
5/20/25,74,134.3630829,161514200,2025-02-26 16:20:00-05:00,82,5,1,2,2025,0,0,-0.008777862,0.023214672,NVDA,0.687658191,1,0,0,1,0.863332028,0.125341794,0.829748164,0.123777636,0.588179806,0.62247865,1
5/21/25,75,131.7834167,270608700,2025-02-26 16:20:00-05:00,83,5,2,2,2025,0,0,-0.019199218,0.02476913,NVDA,0.684262216,1,0,0,1,0.759218092,0.074448498,0.840174345,0.104161369,0.596469672,0.594204432,1
5/22/25,76,132.8132935,187344000,2025-02-26 16:20:00-05:00,84,5,3,2,2025,0,0,0.007814919,0.024471225,NVDA,0.747634009,2,0,0,1,0.736057773,0.086788148,0.81047605,0.115852433,0.57015819,0.581567729,1
5/23/25,77,131.2734833,198821300,2025-02-26 16:20:00-05:00,85,5,4,2,2025,0,0,-0.011593796,0.024815414,NVDA,0.891228616,1,0,0,1,0.706518138,0.03564785,0.802611257,0.118311872,0.583810176,0.558980174,1
5/27/25,78,135.4829407,192953600,2025-02-26 16:20:00-05:00,89,5,1,2,2025,0,0,0.032066319,0.025138594,NVDA,1,3,0,0,1,0.774374947,0.106042826,0.800111302,0.115855266,0.586573761,0.560520965,1
5/28/25,79,134.793045,304021100,2025-02-26 16:20:00-05:00,90,5,2,2,2025,0,0,-0.005092122,0.025000461,NVDA,,0,0,0,0,0.879620875,0.126582792,0.800111302,0.115855266,0.740419915,0.304988753,0
5/29/25,80,139.1725006,369241900,2025-05-28 16:20:00-04:00,0,5,3,2,2025,0,0,0.032490219,0.02555305,NVDA,0.973475128,2,0,0,1,0.945614308,0.076912983,0.807839324,0.124921029,0.818251682,0.124755535,1
5/30/25,81,135.1130066,333170900,2025-05-28 16:20:00-04:00,1,5,4,2,2025,0,0,-0.029168794,0.027514921,NVDA,0.852369606,1,0,0,1,0.986737564,0.018755917,0.830709693,0.142489216,0.830191947,0.126965969,1
6/2/25,82,137.3627167,197663100,2025-05-28 16:20:00-04:00,4,6,0,2,2025,0,0,0.016650581,0.024617019,NVDA,0.888598323,1,0,0,1,0.912922367,0.085634536,0.858161596,0.124096463,0.848476153,0.10921786,1
6/3/25,83,141.2022247,225578800,2025-05-28 16:20:00-04:00,5,6,1,2,2025,0,0,0.027951603,0.021291513,NVDA,,0,0,0,0,0.904814353,0.062159927,0.892217614,0.090250968,0.848202925,0.109103881,0
6/4/25,84,141.9021454,167120800,2025-05-28 16:20:00-04:00,6,6,2,2,2025,0,0,0.004956867,0.018690335,NVDA,0.857975721,2,0,0,1,0.870483965,0.025617571,0.921134335,0.062531759,0.851995873,0.11305654,1
6/5/25,85,139.9723969,231397900,2025-05-28 16:20:00-04:00,7,6,3,2,2025,0,0,-0.01359915,0.019165403,NVDA,,0,0,0,0,0.873287022,0.021653449,0.914483756,0.068033799,0.847766491,0.111682233,0
6/6/25,86,141.7021637,153986200,2025-05-28 16:20:00-04:00,8,6,4,2,2025,0,0,0.012357914,0.019332614,NVDA,,0,0,0,0,0.857975721,0.021653449,0.893104695,0.055896053,0.833927081,0.105792377,0
6/9/25,87,142.6120605,185114500,2025-05-28 16:20:00-04:00,11,6,0,2,2025,0,0,0.006421192,0.019337079,NVDA,0.902309299,1,0,0,1,0.857975721,0.021653449,0.893104695,0.055896053,0.841945472,0.107934066,1
6/10/25,88,143.9418945,155881900,2025-05-28 16:20:00-04:00,12,6,1,2,2025,0,0,0.009324835,0.019033784,NVDA,0.919039369,1,0,0,1,0.902309299,0.021653449,0.875313237,0.024029707,0.848551111,0.109556128,1
6/11/25,89,142.8219452,167694000,2025-05-28 16:20:00-04:00,13,6,2,2,2025,0,0,-0.007780566,0.018135978,NVDA,,0,0,0,0,0.910674334,0.011829946,0.891980678,0.025862654,0.871689229,0.095307248,0
6/12/25,90,144.9918213,162365000,2025-05-28 16:20:00-04:00,14,6,3,2,2025,0,0,0.015192876,0.018301891,NVDA,,0,0,0,0,0.910674334,0.011829946,0.89310813,0.03155453,0.892514452,0.073074576,0
6/13/25,91,141.9619904,180820600,2025-05-28 16:20:00-04:00,15,6,4,2,2025,0,0,-0.020896564,0.019156004,NVDA,,0,0,0,0,0.919039369,0.011829946,0.89310813,0.03155453,0.910624508,0.052242584,0
6/16/25,92,144.681839,183133700,2025-05-28 16:20:00-04:00,18,6,0,2,2025,0,0,0.019158992,0.018073411,NVDA,0.705270469,1,0,0,1,0.919039369,0.011829946,0.910674334,0.011829946,0.913395349,0.055789888,1
6/17/25,93,144.1118622,139108000,2025-05-28 16:20:00-04:00,19,6,1,2,2025,0,0,-0.003939519,0.018027181,NVDA,,0,0,0,0,0.705270469,0.011829946,0.842206379,0.118884634,0.871291131,0.083746954,0
6/18/25,94,145.4717865,161494100,2025-05-28 16:20:00-04:00,20,6,2,2,2025,0,0,0.009436588,0.016285536,NVDA,,0,0,0,0,0.705270469,0.011829946,0.842206379,0.118884634,0.871291131,0.083746954,0
6/20/25,95,143.8418884,242956200,2025-05-28 16:20:00-04:00,22,6,4,2,2025,0,0,-0.011204221,0.014091139,NVDA,0.55290252,1,0,0,1,0.705270469,0.011829946,0.812154919,0.151157438,0.854260465,0.077329791,1
6/23/25,96,144.1618652,154308900,2025-05-28 16:20:00-04:00,25,6,0,2,2025,0,0,0.002224504,0.013660961,NVDA,,0,0,0,0,0.55290252,0.011829946,0.629086494,0.10774041,0.804349283,0.145441234,0
6/24/25,97,147.8916473,187566100,2025-05-28 16:20:00-04:00,26,6,1,2,2025,0,0,0.025872183,0.013383655,NVDA,,0,0,0,0,0.55290252,0.011829946,0.629086494,0.10774041,0.787499475,0.155923283,0
6/25/25,98,154.3013,269146500,2025-05-28 16:20:00-04:00,27,6,2,2,2025,0,0,0.043340194,0.017134212,NVDA,,0,0,0,0,0.55290252,0.011829946,0.629086494,0.10774041,0.787499475,0.155923283,0
6/26/25,99,155.011261,198145700,2025-05-28 16:20:00-04:00,28,6,3,2,2025,0,0,0.004601134,0.016185847,NVDA,,0,0,0,0,0.55290252,0.011829946,0.629086494,0.10774041,0.769880414,0.174202616,0
6/27/25,100,157.7411041,263234500,2025-05-28 16:20:00-04:00,29,6,4,2,2025,0,0,0.017610612,0.016368553,NVDA,,0,0,0,0,0.55290252,0.011829946,0.55290252,0.10774041,0.769880414,0.174202616,0
6/30/25,101,157.9810944,194580300,2025-05-28 16:20:00-04:00,32,6,0,2,2025,1,0,0.001521419,0.016452734,NVDA,0.895497262,1,0,0,1,0.55290252,0.011829946,0.55290252,0.10774041,0.769880414,0.174202616,1
7/1/25,102,153.2913666,213143600,2025-05-28 16:20:00-04:00,33,7,1,3,2025,0,1,-0.029685373,0.019188796,NVDA,,0,0,0,0,0.895497262,0.011829946,0.724199891,0.242251066,0.768177405,0.172501437,0
7/2/25,103,157.2411346,171224100,2025-05-28 16:20:00-04:00,34,7,2,3,2025,0,0,0.025766409,0.019603843,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.717890084,0.171645654,0
7/3/25,104,159.3310089,143716100,2025-05-28 16:20:00-04:00,35,7,3,3,2025,0,0,0.013290888,0.019549747,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.717890084,0.171645654,0
7/7/25,105,158.2310791,140139000,2025-05-28 16:20:00-04:00,39,7,0,3,2025,0,0,-0.006903426,0.018337454,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.717890084,0.171645654,0
7/8/25,106,159.9909821,138133000,2025-05-28 16:20:00-04:00,40,7,1,3,2025,0,0,0.01112236,0.018083093,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.717890084,0.171645654,0
7/9/25,107,162.8708191,183656400,2025-05-28 16:20:00-04:00,41,7,2,3,2025,0,0,0.017999996,0.017978797,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.724199891,0.242251066,0
7/10/25,108,164.0907593,167704100,2025-05-28 16:20:00-04:00,42,7,3,3,2025,0,0,0.007490232,0.017982088,NVDA,,0,0,0,0,0.895497262,0.011829946,0.895497262,0.242251066,0.724199891,0.242251066,0
7/11/25,109,164.9107056,193633300,2025-05-28 16:20:00-04:00,43,7,4,3,2025,0,0,0.004996907,0.017095933,NVDA,0.916903198,1,0,0,1,0.895497262,0.011829946,0.895497262,0.242251066,0.724199891,0.242251066,1
7/14/25,110,164.0607605,136975800,2025-05-28 16:20:00-04:00,46,7,0,3,2025,0,0,-0.005153971,0.017462102,NVDA,,0,0,0,0,0.916903198,0.011829946,0.916903198,0.242251066,0.90620023,0.015136282,0
7/15/25,111,170.6903687,230627400,2025-05-28 16:20:00-04:00,47,7,1,3,2025,0,0,0.040409469,0.018889607,NVDA,0.904388135,11,1,6.956185762,1,0.916903198,0.011829946,0.916903198,0.242251066,0.90620023,0.015136282,1
7/16/25,112,171.3603363,158831500,2025-05-28 16:20:00-04:00,48,7,2,3,2025,0,0,0.003925047,0.016382608,NVDA,0.874416411,1,0,0,1,0.910645666,0.008849486,0.910645666,0.008849486,0.905596198,0.01075398,1
7/17/25,113,172.9902496,160841100,2025-05-28 16:20:00-04:00,49,7,3,3,2025,0,0,0.009511614,0.016365047,NVDA,,0,0,0,0,0.889402273,0.021193209,0.898569248,0.021832919,0.897801252,0.017892555,0
