date,open,high,low,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
7/12/23,276.3299866,276.519989,271.4599915,271.9899902,95672100,2023-04-19 16:07:00-04:00,83,7,2,3,2023,0,0,9.018832729,0.008154422,170.7764354,244,TSLA
7/13/23,274.5899963,279.4500122,270.6000061,277.8999939,112681500,2023-04-19 16:07:00-04:00,84,7,3,3,2023,0,0,7.870297093,0.021728754,174.4871946,245,TSLA
7/14/23,277.0100098,285.2999878,276.3099976,281.3800049,120062400,2023-04-19 16:07:00-04:00,85,7,4,3,2023,0,0,6.406968407,0.01252253,176.6722157,246,TSLA
7/17/23,286.6300049,292.230011,283.5700073,290.3800049,131569600,2023-04-19 16:07:00-04:00,88,7,0,3,2023,0,0,6.443331598,0.031985215,182.3231145,247,TSLA
7/18/23,290.1499939,295.2600098,286.0100098,293.3399963,112120300,2023-04-19 16:07:00-04:00,89,7,1,3,2023,0,0,8.183529782,0.01019351,184.181627,248,TSLA
7/19/23,296.0400085,299.2900085,289.519989,291.2600098,142355400,2023-04-19 16:07:00-04:00,90,7,2,3,2023,0,0,9.049327343,-0.007090702,182.8756499,249,TSLA
7/20/23,279.5599976,280.9299927,261.2000122,262.8999939,175158300,2023-07-19 16:05:00-04:00,0,7,3,3,2023,0,0,10.48610686,-0.097370099,165.0690299,250,TSLA
7/21/23,268,268,255.8000031,260.019989,161796100,2023-07-19 16:05:00-04:00,1,7,4,3,2023,0,0,11.96283718,-0.010954754,163.2607392,251,TSLA
7/24/23,255.8500061,269.8500061,254.1199951,269.0599976,136508500,2023-07-19 16:05:00-04:00,4,7,0,3,2023,0,0,12.0010603,0.034766591,168.9367585,252,TSLA
7/25/23,272.3800049,272.8999939,265,265.2799988,112757300,2023-07-19 16:05:00-04:00,5,7,1,3,2023,0,0,12.37283537,-0.014048907,166.5633817,253,TSLA
7/26/23,263.25,268.0400085,261.75,264.3500061,95856200,2023-07-19 16:05:00-04:00,6,7,2,3,2023,0,0,12.89682121,-0.003505702,165.9794601,254,TSLA
7/27/23,268.3099976,269.1300049,255.3000031,255.7100067,103697300,2023-07-19 16:05:00-04:00,7,7,3,3,2023,0,0,14.28852423,-0.032683939,160.5545976,255,TSLA
7/28/23,259.8599854,267.25,258.230011,266.4400024,111446000,2023-07-19 16:05:00-04:00,8,7,4,3,2023,0,0,14.13797843,0.041961579,167.2917221,256,TSLA
7/31/23,267.480011,269.0799866,263.7799988,267.4299927,84582200,2023-07-19 16:05:00-04:00,11,7,0,3,2023,1,0,12.57664772,0.003715622,167.9133149,257,TSLA
8/1/23,266.2600098,266.4700012,260.25,261.0700073,83166000,2023-07-19 16:05:00-04:00,12,8,1,3,2023,0,1,9.587209982,-0.02378187,163.9200222,258,TSLA
8/2/23,255.5700073,259.519989,250.4900055,254.1100006,101752900,2023-07-19 16:05:00-04:00,13,8,2,3,2023,0,0,4.929240074,-0.026659542,159.5499896,259,TSLA
8/3/23,252.0399933,260.4899902,252,259.3200073,97569100,2023-07-19 16:05:00-04:00,14,8,3,3,2023,0,0,5.036845465,0.020502958,162.8212363,260,TSLA
8/4/23,260.9700012,264.769989,253.1100006,253.8600006,99539900,2023-07-19 16:05:00-04:00,15,8,4,3,2023,0,0,5.67949719,-0.021055092,159.3930202,261,TSLA
8/7/23,251.4499969,253.6499939,242.7599945,251.4499969,111097900,2023-07-19 16:05:00-04:00,18,8,0,3,2023,0,0,5.858411922,-0.009493436,157.8798327,262,TSLA
8/8/23,247.4499969,250.9199982,245.0099945,249.6999969,96642200,2023-07-19 16:05:00-04:00,19,8,1,3,2023,0,0,6.322563851,-0.006959634,156.7810468,263,TSLA
8/9/23,250.8699951,251.1000061,241.8999939,242.1900024,101596300,2023-07-19 16:05:00-04:00,20,8,2,3,2023,0,0,7.713958148,-0.03007607,152.0656891,264,TSLA
8/10/23,245.3999939,251.8000031,243,245.3399963,109498600,2023-07-19 16:05:00-04:00,21,8,3,3,2023,0,0,8.439319187,0.013006292,154.0434999,265,TSLA
8/11/23,241.7700043,243.7899933,238.0200043,242.6499939,99038600,2023-07-19 16:05:00-04:00,22,8,4,3,2023,0,0,8.235298809,-0.010964386,152.3545075,266,TSLA
8/14/23,235.6999969,240.6600037,233.75,239.7599945,98595300,2023-07-19 16:05:00-04:00,25,8,0,3,2023,0,0,7.340553637,-0.011910156,150.5399415,267,TSLA
8/15/23,238.7299957,240.5,232.6100006,232.9600067,88197600,2023-07-19 16:05:00-04:00,26,8,1,3,2023,0,0,7.962833999,-0.028361645,146.2703811,268,TSLA
8/16/23,228.0200043,233.9700012,225.3800049,225.6000061,112484500,2023-07-19 16:05:00-04:00,27,8,2,3,2023,0,0,10.02456337,-0.031593408,141.6492013,269,TSLA
